sequence_id,order_id,order_type,item_id,item_quantity,order_arrival,assigned_station,assigned_pod,status,order_processed,order_finished
1,-100,1,29,6,0,picker-5,,-1,0.0,
2,-99,1,5,4,0,,,-3,,
3,-98,1,40,5,0,,,-3,,
4,-98,1,0,6,0,,,-3,,
5,-98,1,49,4,0,,,-3,,
6,-98,1,481,7,0,,,-3,,
7,-98,1,78,5,0,,,-3,,
8,-98,1,171,12,0,,,-3,,
9,-97,1,0,6,0,picker-1,,-1,,
10,-97,1,68,7,0,picker-1,,-1,,
11,-97,1,30,9,0,picker-1,,-1,,
12,-97,1,24,8,0,picker-1,,-1,,
13,-96,1,296,9,0,picker-5,,-1,0.0,
14,-95,1,40,5,0,picker-4,,-1,,
15,-95,1,37,10,0,picker-4,,-1,,
16,-95,1,2,6,0,picker-4,,-1,,
17,-94,1,15,4,0,,,-3,,
18,-94,1,12,2,0,,,-3,,
19,-94,1,8,4,0,,,-3,,
20,-94,1,32,4,0,,,-3,,
21,-94,1,216,11,0,,,-3,,
22,-93,1,7,12,0,picker-4,,-1,,
23,-92,1,27,3,0,picker-5,,-1,0.0,
24,-92,1,210,10,0,picker-5,,-1,0.0,
25,-91,1,32,3,0,,,-3,,
26,-91,1,22,5,0,,,-3,,
27,-91,1,11,6,0,,,-3,,
28,-90,1,12,5,0,,,-3,,
29,-90,1,78,7,0,,,-3,,
30,-90,1,22,3,0,,,-3,,
31,-89,1,28,6,0,,,-3,,
32,-89,1,22,9,0,,,-3,,
33,-89,1,10,7,0,,,-3,,
34,-88,1,0,7,0,picker-2,,-1,0.0,
35,-87,1,44,8,0,,,-3,,
36,-87,1,2,6,0,,,-3,,
37,-87,1,26,4,0,,,-3,,
38,-87,1,46,4,0,,,-3,,
39,-86,1,225,8,0,,,-3,,
40,-86,1,20,3,0,,,-3,,
41,-86,1,37,3,0,,,-3,,
42,-85,1,1,11,0,picker-3,,-1,0.0,
43,-84,1,108,6,0,,,-3,,
44,-84,1,0,10,0,,,-3,,
45,-84,1,14,6,0,,,-3,,
46,-84,1,278,5,0,,,-3,,
47,-84,1,277,2,0,,,-3,,
48,-84,1,53,6,0,,,-3,,
49,-84,1,172,4,0,,,-3,,
50,-83,1,63,5,0,,,-3,,
51,-83,1,131,4,0,,,-3,,
52,-82,1,1,5,0,picker-3,,-1,0.0,
53,-81,1,181,12,0,,,-3,,
54,-80,1,0,8,0,picker-2,,-1,0.0,
55,-79,1,78,11,0,,,-3,,
56,-78,1,18,4,0,picker-4,,-1,0.0,
57,-78,1,94,3,0,picker-4,,-1,0.0,
58,-77,1,104,7,0,,,-3,,
59,-76,1,446,12,0,,,-3,,
60,-76,1,15,6,0,,,-3,,
61,-75,1,0,7,0,,,-3,,
62,-75,1,168,5,0,,,-3,,
63,-75,1,455,7,0,,,-3,,
64,-74,1,9,6,0,,,-3,,
65,-74,1,432,5,0,,,-3,,
66,-73,1,10,2,0,,,-3,,
67,-73,1,32,6,0,,,-3,,
68,-72,1,290,10,0,picker-5,,-1,0.0,
69,-71,1,2,4,0,picker-1,,-1,,
