sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
0,-100,1,154,6,0
1,-100,1,3,4,0
2,-99,1,493,9,0
3,-98,1,191,7,0
4,-97,1,290,4,0
5,-96,1,63,4,0
6,-95,1,1,2,0
7,-94,1,152,8,0
8,-93,1,24,6,0
9,-92,1,26,10,0
10,-92,1,456,12,0
11,-92,1,28,7,0
12,-92,1,114,9,0
13,-91,1,92,4,0
14,-90,1,1,5,0
15,-89,1,0,5,0
16,-88,1,424,4,0
17,-88,1,87,7,0
18,-88,1,30,7,0
19,-87,1,114,4,0
20,-86,1,73,5,0
21,-86,1,105,4,0
22,-85,1,138,1,0
23,-84,1,26,4,0
24,-83,1,151,8,0
25,-82,1,117,7,0
26,-81,1,21,6,0
27,-81,1,44,3,0
28,-80,1,26,6,0
29,-79,1,32,5,0
30,-79,1,14,8,0
31,-78,1,205,7,0
32,-78,1,56,6,0
33,-77,1,17,4,0
34,-77,1,2,7,0
35,-76,1,130,6,0
36,-76,1,97,10,0
37,-75,1,28,4,0
38,-75,1,7,5,0
39,-74,1,48,8,0
40,-73,1,1,2,0
41,-73,1,207,4,0
42,-73,1,432,6,0
43,-73,1,119,4,0
44,-72,1,39,10,0
45,-71,1,454,12,0
46,-71,1,6,10,0
47,-71,1,27,10,0
48,-71,1,33,8,0
49,-71,1,37,3,0
50,-71,1,164,6,0
51,-71,1,157,8,0
52,-70,1,6,1,0
53,-69,1,131,6,0
54,-68,1,11,6,0
55,-68,1,50,4,0
56,-68,1,7,2,0
57,-67,1,167,6,0
58,-66,1,3,6,0
59,-65,1,431,7,0
60,-65,1,39,7,0
61,-65,1,168,2,0
62,-64,1,225,8,0
63,-63,1,72,8,0
64,-63,1,66,6,0
65,-62,1,16,9,0
66,-61,1,35,2,0
67,-60,1,372,12,0
68,-60,1,8,11,0
69,-60,1,356,11,0
70,-60,1,36,11,0
71,-60,1,30,6,0
72,-59,1,491,4,0
73,-58,1,38,6,0
74,-57,1,138,8,0
75,-56,1,6,8,0
76,-56,1,73,5,0
77,-56,1,2,4,0
78,-55,1,57,10,0
79,-55,1,443,4,0
80,-55,1,191,9,0
81,-55,1,4,8,0
82,-54,1,0,8,0
83,-53,1,30,1,0
84,-53,1,19,5,0
85,-52,1,28,6,0
86,-52,1,23,8,0
87,-51,1,27,4,0
88,-51,1,188,6,0
89,-51,1,76,6,0
90,-51,1,1,11,0
91,-50,1,138,2,0
92,-50,1,151,7,0
93,-50,1,38,7,0
94,-50,1,2,5,0
95,-49,1,1,7,0
96,-49,1,131,3,0
97,-49,1,128,4,0
98,-49,1,3,8,0
99,-49,1,285,2,0
100,-49,1,253,8,0
101,-49,1,72,6,0
102,-48,1,64,8,0
103,-47,1,21,8,0
104,-46,1,110,3,0
105,-45,1,31,5,0
106,-45,1,17,10,0
107,-45,1,35,6,0
108,-45,1,20,7,0
109,-45,1,8,5,0
110,-45,1,3,6,0
111,-45,1,154,3,0
112,-44,1,22,6,0
113,-44,1,15,6,0
114,-44,1,0,7,0
115,-43,1,16,6,0
116,-42,1,389,3,0
117,-42,1,67,4,0
118,-42,1,46,8,0
119,-42,1,4,12,0
120,-42,1,152,4,0
121,-41,1,25,2,0
122,-41,1,12,8,0
123,-41,1,53,6,0
124,-41,1,17,10,0
125,-40,1,54,10,0
126,-40,1,4,4,0
127,-40,1,77,2,0
128,-39,1,6,9,0
129,-38,1,25,4,0
130,-37,1,316,12,0
131,-37,1,157,3,0
132,-37,1,36,9,0
133,-37,1,59,2,0
134,-37,1,12,7,0
135,-37,1,87,8,0
136,-37,1,133,10,0
137,-37,1,44,6,0
138,-36,1,227,4,0
139,-35,1,377,9,0
140,-35,1,189,4,0
141,-35,1,436,11,0
142,-34,1,230,6,0
143,-34,1,101,6,0
144,-33,1,46,10,0
145,-32,1,315,6,0
146,-32,1,42,1,0
147,-32,1,119,11,0
148,-32,1,462,10,0
149,-32,1,126,5,0
150,-32,1,38,8,0
151,-32,1,49,4,0
152,-32,1,39,7,0
153,-31,1,97,8,0
154,-31,1,373,7,0
155,-31,1,6,8,0
156,-30,1,162,8,0
157,-30,1,401,5,0
158,-29,1,10,8,0
159,-29,1,3,4,0
160,-28,1,256,8,0
161,-28,1,166,10,0
162,-27,1,12,5,0
163,-26,1,23,5,0
164,-26,1,22,8,0
165,-26,1,2,6,0
166,-25,1,27,8,0
167,-25,1,96,5,0
168,-25,1,231,8,0
169,-24,1,114,6,0
170,-24,1,31,8,0
171,-23,1,147,2,0
172,-22,1,71,6,0
173,-21,1,5,4,0
174,-20,1,4,4,0
175,-19,1,249,9,0
176,-18,1,481,9,0
177,-18,1,27,2,0
178,-18,1,36,8,0
179,-18,1,8,6,0
180,-18,1,53,12,0
181,-17,1,62,4,0
182,-16,1,144,6,0
183,-16,1,27,6,0
184,-15,1,45,9,0
185,-14,1,14,7,0
186,-13,1,26,8,0
187,-13,1,200,11,0
188,-12,1,88,3,0
189,-12,1,162,8,0
190,-12,1,45,7,0
191,-12,1,136,2,0
192,-12,1,13,8,0
193,-12,1,10,7,0
