sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
1,-100,1,17,10,0
2,-100,1,256,10,0
3,-99,1,170,6,0
4,-98,1,143,6,0
5,-98,1,109,2,0
6,-97,1,132,6,0
7,-96,1,371,1,0
8,-95,1,27,8,0
9,-95,1,49,8,0
10,-94,1,44,5,0
11,-94,1,131,6,0
12,-94,1,43,11,0
13,-94,1,37,2,0
14,-94,1,469,1,0
15,-93,1,2,9,0
16,-92,1,68,12,0
17,-91,1,28,6,0
18,-90,1,15,1,0
19,-90,1,385,7,0
20,-89,1,127,2,0
21,-89,1,204,6,0
22,-88,1,264,5,0
23,-87,1,27,8,0
24,-86,1,477,6,0
25,-85,1,130,4,0
26,-84,1,226,6,0
27,-84,1,135,8,0
28,-84,1,172,12,0
29,-83,1,40,11,0
30,-82,1,311,4,0
31,-81,1,343,4,0
32,-81,1,173,4,0
33,-80,1,35,6,0
34,-80,1,41,7,0
35,-79,1,470,6,0
36,-79,1,30,3,0
37,-78,1,39,4,0
38,-78,1,33,5,0
39,-78,1,26,3,0
40,-77,1,31,5,0
41,-76,1,365,6,0
42,-76,1,127,4,0
43,-76,1,151,12,0
44,-75,1,18,4,0
45,-74,1,7,9,0
46,-73,1,16,7,0
47,-73,1,35,5,0
48,-73,1,118,10,0
49,-73,1,47,9,0
50,-72,1,2,4,0
51,-71,1,24,8,0
52,-70,1,2,10,0
53,-69,1,276,4,0
54,-68,1,7,4,0
55,-67,1,18,4,0
56,-67,1,149,10,0
57,-66,1,4,6,0
58,-65,1,33,6,0
59,-64,1,162,6,0
60,-63,1,7,11,0
61,-63,1,2,6,0
62,-63,1,1,2,0
63,-63,1,146,8,0
64,-62,1,116,2,0
65,-62,1,14,5,0
66,-61,1,206,6,0
67,-60,1,10,3,0
68,-60,1,85,8,0
69,-60,1,11,6,0
70,-59,1,49,8,0
71,-59,1,12,6,0
72,-59,1,5,10,0
73,-58,1,218,9,0
74,-57,1,2,9,0
75,-57,1,372,7,0
76,-56,1,9,6,0
77,-55,1,391,5,0
78,-55,1,2,4,0
79,-54,1,82,6,0
80,-53,1,16,7,0
81,-52,1,31,6,0
82,-52,1,3,8,0
83,-51,1,8,11,0
84,-51,1,63,4,0
85,-51,1,425,4,0
86,-50,1,100,3,0
87,-49,1,86,7,0
88,-49,1,79,8,0
89,-49,1,29,11,0
90,-49,1,43,10,0
91,-48,1,0,2,0
92,-48,1,30,8,0
93,-48,1,162,11,0
94,-47,1,1,10,0
95,-46,1,25,6,0
96,-45,1,41,11,0
97,-45,1,33,11,0
98,-44,1,24,8,0
99,-43,1,380,4,0
100,-42,1,319,5,0
101,-42,1,21,10,0
102,-41,1,227,10,0
103,-41,1,13,7,0
104,-41,1,436,6,0
105,-40,1,268,2,0
106,-40,1,40,12,0
107,-39,1,278,4,0
108,-38,1,167,6,0
109,-38,1,263,9,0
110,-38,1,27,12,0
111,-38,1,126,9,0
112,-37,1,12,2,0
113,-36,1,27,9,0
114,-35,1,186,1,0
115,-35,1,64,11,0
116,-35,1,20,5,0
117,-34,1,131,6,0
118,-34,1,0,8,0
119,-33,1,10,7,0
120,-33,1,291,6,0
121,-32,1,3,9,0
122,-31,1,77,6,0
123,-31,1,214,6,0
124,-31,1,7,11,0
125,-30,1,373,9,0
126,-30,1,37,11,0
127,-29,1,329,10,0
128,-29,1,27,4,0
129,-28,1,189,10,0
130,-27,1,290,9,0
131,-27,1,48,8,0
132,-27,1,331,6,0
133,-27,1,17,4,0
134,-27,1,240,10,0
135,-26,1,89,7,0
136,-25,1,73,4,0
137,-25,1,9,10,0
138,-25,1,385,10,0
139,-25,1,441,8,0
140,-24,1,138,6,0
141,-23,1,9,2,0
142,-22,1,114,10,0
143,-21,1,293,10,0
144,-20,1,44,10,0
145,-20,1,41,4,0
146,-20,1,12,7,0
147,-20,1,159,2,0
148,-19,1,101,8,0
149,-18,1,61,2,0
150,-17,1,33,8,0
151,-16,1,8,4,0
152,-16,1,103,12,0
153,-15,1,2,5,0
154,-15,1,50,2,0
155,-14,1,198,8,0
156,-14,1,125,10,0
157,-13,1,7,5,0
158,-12,1,179,2,0
159,-11,1,415,8,0
160,-11,1,13,6,0
161,-11,1,16,6,0
162,-10,1,48,9,0
163,-10,1,11,7,0
164,-9,1,50,3,0
165,-8,1,26,8,0
166,-7,1,1,8,0
167,-7,1,16,2,0
168,-6,1,65,6,0
169,-5,1,291,3,0
170,-5,1,54,3,0
171,-4,1,265,6,0
172,-4,1,1,9,0
173,-3,1,20,7,0
174,-2,1,2,4,0
175,-1,1,205,8,0
176,-1,1,159,8,0
177,-1,1,67,6,0
178,-1,1,86,5,0
179,-1,1,1,9,0
180,-1,1,31,9,0
181,0,1,3,10,60
182,0,1,350,1,60
183,0,1,128,9,60
184,1,1,4,8,60
185,2,1,98,8,60
186,2,1,201,4,60
187,3,1,35,12,60
188,4,1,83,3,60
189,4,1,174,5,60
190,5,1,60,1,120
191,6,1,487,8,120
192,6,1,44,4,120
193,7,1,3,10,120
194,8,1,1,4,120
195,9,1,1,11,180
196,10,1,429,3,180
197,11,1,81,6,240
198,12,1,130,5,240
199,13,1,15,8,240
200,14,1,2,4,240
201,14,1,6,5,240
202,14,1,206,4,240
203,15,1,123,6,240
204,15,1,18,1,240
205,16,1,16,6,240
206,17,1,128,5,240
207,17,1,38,10,240
208,17,1,71,10,240
209,18,1,172,6,300
210,18,1,193,1,300
211,18,1,23,4,300
212,18,1,48,3,300
213,19,1,47,10,300
214,19,1,133,4,300
215,19,1,78,6,300
216,20,1,272,10,300
217,20,1,7,5,300
218,21,1,30,4,300
219,22,1,92,4,300
220,23,1,180,8,360
221,24,1,227,4,360
222,24,1,37,4,360
223,24,1,35,8,360
224,24,1,12,6,360
225,24,1,1,8,360
226,25,1,50,12,360
227,26,1,413,8,360
228,26,1,492,11,360
229,27,1,101,4,360
230,28,1,139,5,360
231,29,1,42,6,360
232,30,1,115,7,420
233,31,1,10,5,420
234,31,1,475,9,420
235,31,1,20,7,420
236,31,1,23,3,420
237,32,1,0,3,420
238,32,1,120,8,420
239,33,1,53,2,420
240,33,1,207,9,420
241,34,1,402,11,420
242,35,1,110,3,420
243,35,1,184,5,420
244,35,1,483,6,420
245,36,1,149,4,420
246,37,1,78,8,420
247,37,1,32,2,420
248,38,1,68,8,420
249,38,1,3,8,420
250,38,1,47,8,420
251,39,1,9,1,420
252,39,1,72,4,420
253,40,1,47,6,420
254,41,1,32,6,480
255,42,1,142,7,480
256,42,1,65,2,480
257,43,1,169,6,480
258,43,1,97,11,480
259,44,1,79,10,480
260,45,1,8,4,480
261,45,1,260,8,480
262,45,1,483,6,480
263,45,1,61,10,480
264,46,1,8,7,540
265,47,1,411,4,540
266,47,1,28,8,540
267,48,1,469,5,600
268,48,1,48,5,600
269,48,1,125,10,600
270,49,1,47,10,600
271,50,1,486,6,600
272,50,1,23,4,600
273,50,1,31,6,600
274,51,1,29,8,600
275,51,1,183,6,600
276,51,1,246,4,600
277,51,1,303,3,600
278,52,1,30,2,600
279,52,1,19,12,600
280,53,1,453,4,660
281,53,1,160,10,660
282,54,1,90,10,660
283,55,1,1,6,660
284,56,1,63,4,660
285,57,1,39,6,720
286,58,1,261,5,720
287,59,1,264,10,720
288,59,1,163,10,720
289,60,1,4,7,720
290,61,1,112,11,720
291,62,1,18,9,720
292,63,1,248,10,720
293,63,1,406,5,720
294,63,1,349,10,720
295,63,1,21,2,720
296,64,1,0,6,720
297,64,1,4,8,720
298,64,1,178,5,720
299,64,1,1,10,720
300,65,1,17,12,780
301,65,1,8,9,780
302,65,1,4,8,780
303,65,1,165,8,780
304,65,1,163,2,780
305,66,1,329,6,780
306,66,1,186,2,780
307,67,1,444,2,780
308,67,1,1,8,780
309,67,1,105,3,780
310,67,1,211,3,780
311,67,1,32,7,780
312,68,1,92,6,780
313,69,1,14,6,780
314,70,1,296,8,840
315,71,1,49,3,840
316,71,1,45,6,840
317,71,1,21,2,840
318,71,1,17,6,840
319,71,1,5,4,840
320,72,1,192,4,840
321,73,1,40,10,840
322,74,1,312,4,840
323,74,1,18,6,840
324,75,1,300,8,900
325,75,1,18,9,900
326,75,1,98,7,900
327,75,1,35,7,900
328,75,1,73,6,900
329,76,1,164,2,900
330,77,1,29,2,900
331,78,1,17,6,900
332,79,1,337,6,900
333,80,1,109,2,900
334,80,1,191,12,900
335,80,1,174,7,900
336,80,1,378,4,900
337,81,1,115,6,900
338,81,1,14,6,900
339,81,1,297,10,900
340,81,1,495,10,900
341,82,1,65,4,960
342,83,1,68,6,960
343,83,1,0,9,960
344,84,1,392,6,960
345,85,1,6,8,960
346,85,1,20,10,960
347,85,1,231,10,960
348,85,1,59,8,960
349,85,1,48,5,960
350,85,1,46,4,960
351,85,1,42,7,960
352,85,1,1,7,960
353,86,1,40,6,960
354,86,1,61,5,960
355,87,1,33,8,960
356,87,1,226,8,960
357,87,1,9,5,960
358,87,1,140,3,960
359,87,1,276,9,960
360,87,1,254,8,960
361,88,1,171,2,1020
362,89,1,10,9,1020
363,89,1,230,8,1020
364,89,1,92,3,1020
365,89,1,0,8,1020
366,90,1,336,3,1020
367,90,1,0,4,1020
368,91,1,38,6,1020
369,92,1,40,7,1020
370,93,1,7,4,1020
371,93,1,88,4,1020
372,93,1,42,4,1020
373,93,1,46,10,1020
374,94,1,389,5,1020
375,95,1,175,12,1020
376,96,1,229,8,1020
377,97,1,39,6,1080
378,97,1,93,8,1080
379,97,1,76,5,1080
380,98,1,90,9,1080
381,99,1,60,4,1080
382,100,1,37,8,1080
383,101,1,147,2,1080
384,102,1,13,11,1140
385,103,1,68,7,1140
386,104,1,0,4,1140
387,104,1,59,2,1140
388,104,1,19,5,1140
389,104,1,50,4,1140
390,105,1,138,12,1140
391,105,1,6,10,1140
392,105,1,47,4,1140
393,106,1,72,6,1140
394,106,1,111,4,1140
395,107,1,245,8,1140
396,107,1,7,3,1140
397,107,1,22,6,1140
398,107,1,434,2,1140
399,107,1,247,4,1140
400,107,1,332,4,1140
401,107,1,15,12,1140
402,107,1,64,8,1140
403,108,1,397,6,1140
404,108,1,78,9,1140
405,109,1,97,7,1200
406,109,1,20,6,1200
407,109,1,246,6,1200
408,109,1,16,10,1200
409,109,1,43,7,1200
410,110,1,259,8,1200
411,111,1,86,6,1200
412,111,1,34,5,1200
413,112,1,361,4,1200
414,112,1,37,1,1200
415,113,1,95,6,1200
416,114,1,91,7,1200
417,115,1,40,11,1260
418,115,1,132,4,1260
419,116,1,46,4,1260
420,117,1,108,4,1260
421,117,1,142,12,1260
422,118,1,48,12,1260
423,119,1,0,8,1260
424,120,1,38,8,1260
425,121,1,252,6,1320
426,121,1,293,9,1320
427,121,1,121,2,1320
428,122,1,112,6,1320
429,123,1,6,6,1320
430,123,1,26,6,1320
431,124,1,6,8,1320
432,125,1,54,4,1320
433,126,1,150,8,1320
434,127,1,31,6,1320
435,128,1,19,11,1380
436,129,1,94,2,1380
437,130,1,3,2,1380
438,130,1,80,8,1380
439,130,1,5,4,1380
440,131,1,233,8,1380
441,132,1,199,10,1380
442,133,1,54,8,1380
443,133,1,268,8,1380
444,134,1,66,5,1380
445,134,1,279,6,1380
446,135,1,8,7,1440
447,136,1,301,4,1440
448,136,1,4,4,1440
449,137,1,30,4,1440
450,138,1,17,3,1440
451,138,1,170,4,1440
452,138,1,387,9,1440
453,139,1,10,11,1440
454,139,1,104,4,1440
455,139,1,87,6,1440
456,139,1,58,7,1440
457,139,1,7,9,1440
458,140,1,266,9,1440
459,140,1,2,6,1440
460,140,1,92,10,1440
461,141,1,0,6,1440
462,141,1,285,9,1440
463,142,1,21,7,1440
464,142,1,86,8,1440
465,142,1,22,8,1440
466,142,1,5,6,1440
467,143,1,47,9,1500
468,144,1,16,2,1500
469,144,1,164,11,1500
470,145,1,0,10,1500
471,145,1,3,9,1500
472,145,1,417,11,1500
473,145,1,46,7,1500
474,145,1,62,5,1500
475,146,1,9,10,1500
476,147,1,100,5,1500
477,148,1,92,6,1500
478,149,1,306,2,1500
479,149,1,60,6,1500
480,150,1,43,8,1500
481,151,1,1,8,1500
482,152,1,47,12,1500
483,152,1,27,9,1500
484,152,1,0,8,1500
485,152,1,51,4,1500
486,152,1,183,9,1500
487,152,1,2,1,1500
488,153,1,1,6,1560
489,153,1,2,4,1560
490,154,1,391,6,1560
491,155,1,7,4,1560
492,156,1,115,12,1560
493,157,1,15,6,1560
494,158,1,5,3,1560
495,158,1,496,6,1560
496,158,1,46,7,1560
497,159,1,264,8,1620
498,160,1,486,4,1620
499,161,1,54,5,1620
500,162,1,70,8,1620
501,163,1,258,4,1680
502,163,1,62,6,1680
503,163,1,4,6,1680
504,164,1,4,4,1680
505,164,1,1,10,1680
506,165,1,0,2,1680
507,165,1,77,7,1680
508,165,1,11,4,1680
509,166,1,1,4,1680
510,167,1,148,8,1680
511,168,1,30,1,1680
512,168,1,308,8,1680
513,169,1,166,8,1680
514,169,1,223,4,1680
515,170,1,43,12,1740
516,171,1,179,8,1740
517,171,1,176,8,1740
518,172,1,10,12,1740
519,173,1,9,12,1740
520,173,1,327,11,1740
521,173,1,22,7,1740
522,173,1,6,8,1740
523,173,1,196,2,1740
524,173,1,152,4,1740
525,173,1,26,10,1740
526,174,1,4,10,1740
527,175,1,288,8,1800
528,176,1,246,4,1800
529,176,1,71,1,1800
530,176,1,114,7,1800
531,177,1,48,6,1800
532,177,1,27,6,1800
533,178,1,51,10,1800
534,179,1,308,7,1800
535,179,1,47,12,1800
536,179,1,179,6,1800
537,180,1,49,6,1800
538,181,1,31,8,1860
539,181,1,46,10,1860
540,182,1,216,7,1860
541,182,1,5,3,1860
542,183,1,0,4,1860
543,183,1,88,5,1860
544,184,1,187,7,1860
545,185,1,146,12,1860
546,186,1,23,9,1860
547,187,1,287,9,1920
548,188,1,40,6,1920
549,189,1,58,12,1920
550,190,1,38,7,1920
551,190,1,0,8,1920
552,190,1,56,4,1920
553,191,1,247,7,1920
554,192,1,38,6,1920
555,193,1,265,12,1980
556,194,1,98,2,1980
557,194,1,172,7,1980
558,194,1,12,7,1980
559,195,1,149,8,1980
560,195,1,31,6,1980
561,196,1,301,4,1980
562,196,1,48,9,1980
563,196,1,47,12,1980
564,196,1,286,2,1980
565,197,1,9,6,1980
566,197,1,4,7,1980
567,198,1,13,8,2040
568,199,1,30,6,2040
569,199,1,49,5,2040
570,200,1,348,5,2040
