order_id,order_arrival,process_start_time,order_complete_time,station_id
-34,0,2,71,picker-4
-48,0,1,76,picker-1
-46,0,1,92,picker-1
-74,0,1,92,picker-1
-64,0,1,92,picker-1
-85,0,1,99,picker-2
-57,0,1,99,picker-2
-50,0,1,99,picker-2
-78,0,1,99,picker-1
-36,0,1,103,picker-1
-27,0,1,105,picker-2
-15,0,1,110,picker-3
-58,0,1,116,picker-2
-99,0,1,116,picker-2
-38,0,72,117,picker-4
-93,0,1,121,picker-1
-82,0,1,121,picker-1
-26,0,2,134,picker-4
-32,0,1,135,picker-2
-35,0,1,135,picker-2
-30,0,1,140,picker-3
-95,0,100,143,picker-1
-100,0,1,154,picker-3
-66,0,1,154,picker-3
-49,0,1,154,picker-3
-10,0,1,154,picker-3
-12,0,1,154,picker-3
-29,0,1,154,picker-3
-14,0,93,156,picker-1
-22,0,93,156,picker-1
-84,0,111,157,picker-3
-89,0,1,158,picker-4
-2,0,1,158,picker-4
-54,0,1,158,picker-4
-8,0,1,158,picker-4
-44,0,1,158,picker-4
-67,0,2,161,picker-4
-43,0,101,165,picker-2
-33,0,77,168,picker-1
-16,0,1,169,picker-5
-41,0,1,170,picker-5
-70,0,104,172,picker-1
9,120,122,182,picker-1
-4,0,106,187,picker-2
-71,0,1,188,picker-5
-25,0,1,188,picker-5
-18,0,1,188,picker-5
-94,0,118,190,picker-4
7,120,135,197,picker-4
8,120,122,197,picker-1
-90,0,93,201,picker-1
-52,0,101,203,picker-2
-72,0,101,203,picker-2
-98,0,155,212,picker-3
-62,0,117,213,picker-2
2,60,117,213,picker-2
-69,0,144,218,picker-1
-65,0,136,221,picker-2
-80,0,155,235,picker-3
-31,0,166,235,picker-2
0,60,141,237,picker-3
-23,0,155,242,picker-3
-21,0,155,244,picker-3
-77,0,170,247,picker-5
-81,0,157,248,picker-1
-7,0,159,248,picker-4
-20,0,159,248,picker-4
10,180,191,250,picker-4
-9,0,155,253,picker-3
-55,0,162,253,picker-4
-53,0,159,256,picker-4
-79,0,159,257,picker-4
-91,0,158,257,picker-3
-24,0,136,262,picker-2
-75,0,171,265,picker-5
-28,0,155,267,picker-3
-47,0,173,270,picker-1
3,60,157,270,picker-1
1,60,159,277,picker-4
-92,0,169,291,picker-1
-6,0,204,298,picker-2
13,180,214,298,picker-2
-59,0,213,298,picker-3
-13,0,189,299,picker-5
-39,0,198,301,picker-1
-88,0,189,306,picker-5
-45,0,189,306,picker-5
-5,0,183,311,picker-1
-1,0,238,318,picker-3
15,180,245,325,picker-3
-86,0,219,330,picker-1
-83,0,259,335,picker-4
-63,0,237,338,picker-3
-96,0,257,341,picker-4
4,60,199,343,picker-4
-87,0,202,344,picker-1
-11,0,249,348,picker-1
-56,0,214,351,picker-2
5,60,236,352,picker-2
-19,0,250,354,picker-4
14,180,248,354,picker-5
-3,0,243,367,picker-3
-40,0,204,369,picker-2
-61,0,251,375,picker-4
18,240,271,376,picker-1
12,180,278,376,picker-4
-73,0,250,381,picker-4
17,240,266,381,picker-5
-76,0,268,381,picker-3
11,180,222,384,picker-2
-97,0,255,385,picker-4
25,300,301,390,picker-3
19,240,292,392,picker-1
26,300,302,395,picker-1
20,240,254,403,picker-3
-42,0,188,404,picker-2
16,240,263,404,picker-2
-68,0,303,409,picker-5
24,300,331,427,picker-1
27,300,300,428,picker-2
28,300,319,430,picker-3
23,300,336,431,picker-4
30,300,326,431,picker-3
21,300,312,436,picker-1
-17,0,307,438,picker-5
