pod_id,item_id,qty,order_id,processed_time,task_type
259,16,3,-80,56,1
31,48,6,-12,63,1
31,212,8,-12,63,1
381,136,4,-65,67,1
381,136,6,-78,67,1
381,136,8,-76,67,1
381,136,8,-14,67,1
145,15,11,-81,70,1
145,7,5,-81,70,1
385,16,2,-83,73,1
385,16,6,-4,73,1
385,16,4,-80,73,1
129,218,10,-94,76,1
257,458,9,-65,80,1
144,206,6,-89,86,1
148,106,6,-81,87,1
131,307,6,-14,89,1
132,9,7,-68,94,1
132,9,9,-87,94,1
132,73,8,-87,94,1
154,189,3,-88,99,1
154,148,6,-63,99,1
54,72,3,-40,100,1
161,8,4,-70,102,1
161,8,6,-32,102,1
161,36,10,-43,102,1
35,84,6,-100,109,1
100,438,2,-6,114,1
100,438,7,-11,114,1
100,40,10,-54,114,1
153,2,2,-31,134,1
153,2,3,-96,134,1
153,2,6,-97,134,1
153,2,12,-86,134,1
153,9,4,-96,134,1
354,15,6,-82,145,1
354,15,6,-6,145,1
354,42,6,-81,145,1
354,23,5,-81,145,1
321,10,2,-96,146,1
321,19,6,-87,146,1
128,10,6,-15,147,1
128,10,8,-23,147,1
297,222,4,-42,152,1
297,12,4,-42,152,1
297,187,6,-43,152,1
330,171,7,-6,165,1
330,17,6,-53,165,1
164,122,2,-6,177,1
164,3,4,-57,177,1
356,338,1,-39,178,1
227,216,2,-66,186,1
394,271,3,-79,186,1
0,27,6,-5,188,1
373,175,4,-71,195,1
70,444,5,-6,197,1
130,0,8,-19,200,1
1,7,5,-36,206,1
278,161,6,-59,211,1
274,32,8,4,219,1
274,18,2,-16,219,1
198,125,2,-91,224,1
11,252,9,-5,224,1
266,111,1,-88,232,1
134,14,3,-56,235,1
9,448,5,-88,241,1
418,94,2,-5,241,1
138,35,6,-64,265,1
6,19,9,-55,287,1
6,1,8,-55,287,1
387,49,8,-7,287,1
258,28,2,-55,291,1
188,100,11,-3,294,1
267,35,8,-26,298,1
415,44,6,-74,312,1
415,217,7,-56,312,1
402,82,2,-26,313,1
137,24,10,-93,315,1
322,45,1,-34,319,1
8,28,2,-37,328,1
289,45,12,-30,329,1
118,24,9,-84,336,1
118,0,8,1,336,1
57,17,12,-8,342,1
57,23,8,-44,342,1
326,46,7,3,346,1
323,0,6,-44,351,1
160,60,8,1,358,1
403,5,7,-8,362,1
2,233,7,-84,370,1
275,26,2,1,375,1
139,95,10,-69,376,1
384,17,8,-69,387,1
217,7,5,7,396,1
217,25,8,-60,396,1
409,347,9,-33,400,1
22,26,6,-29,401,1
22,26,12,-73,401,1
17,149,2,-27,404,1
327,495,4,-18,411,1
256,1,3,2,413,1
5,22,4,7,415,1
386,31,3,2,419,1
261,4,3,13,430,1
12,49,2,12,443,1
12,105,2,-33,443,1
97,457,4,-21,448,1
271,417,10,-25,457,1
268,309,7,-67,461,1
268,25,8,-67,461,1
190,11,12,-1,466,1
190,36,6,-1,466,1
26,6,10,-38,466,1
260,232,4,15,473,1
96,5,2,15,478,1
385,9,2,-1,485,1
337,90,8,16,495,1
282,32,11,-10,506,1
282,2,4,-10,506,1
282,49,10,-10,506,1
106,41,6,-49,511,1
106,6,7,-49,511,1
408,198,7,-67,512,1
408,260,5,-45,512,1
140,221,3,-10,524,1
140,1,10,-17,524,1
136,233,4,20,537,1
15,33,4,-10,544,1
0,100,12,17,545,1
32,168,2,-38,551,1
10,299,8,-17,557,1
379,342,1,14,557,1
263,37,7,-48,566,1
71,342,10,22,572,1
390,40,6,-13,576,1
107,75,6,-62,581,1
132,9,12,-17,583,1
132,185,6,-17,583,1
64,37,4,-13,585,1
128,124,6,9,594,1
35,1,4,24,598,1
24,14,9,22,599,1
24,30,12,22,599,1
259,16,6,11,607,1
317,17,6,-41,618,1
317,7,8,-61,618,1
274,18,11,11,623,1
4,365,11,-41,634,1
330,114,8,-51,645,1
391,91,8,-51,659,1
293,397,12,-61,664,1
293,30,11,-72,664,1
44,102,8,-58,674,1
155,43,5,21,677,1
155,22,6,21,677,1
114,34,6,25,681,1
114,207,10,25,681,1
3,12,6,-58,683,1
186,260,4,-45,688,1
23,323,10,-58,697,1
110,130,3,-10,703,1
36,135,6,-51,706,1
18,477,8,-46,709,1
18,34,8,-46,709,1
202,22,2,-50,714,1
202,145,2,-50,714,1
383,488,3,-58,724,1
383,11,10,-47,724,1
295,30,6,-46,727,1
295,3,7,25,727,1
280,162,8,-28,736,1
398,67,8,10,747,1
82,2,5,-46,749,1
82,290,10,6,749,1
196,130,5,0,762,1
180,49,7,6,766,1
180,17,5,-22,766,1
162,57,2,11,773,1
287,50,7,-22,779,1
315,496,6,-90,780,1
315,0,4,27,780,1
182,20,11,28,792,1
182,352,5,5,792,1
65,331,6,-72,793,1
411,79,4,-95,800,1
7,73,10,8,806,1
340,14,3,-22,808,1
340,14,8,-35,808,1
340,326,10,-35,808,1
248,79,1,-61,809,1
220,65,9,-35,823,1
153,87,6,35,825,1
392,47,6,33,832,1
267,36,4,-46,832,1
170,54,8,-99,852,1
243,15,4,18,857,1
243,33,7,-85,857,1
130,0,3,-99,858,1
42,42,4,10,858,1
42,0,2,32,858,1
1,7,10,36,863,1
1,14,12,36,863,1
316,54,3,41,864,1
134,14,4,-20,869,1
134,16,3,31,869,1
335,73,6,-99,873,1
88,152,6,31,887,1
158,79,7,-20,898,1
98,9,10,18,907,1
98,116,8,18,907,1
17,492,10,18,931,1
389,498,10,-92,932,1
53,97,10,-92,946,1
203,297,8,37,954,1
26,24,6,18,961,1
26,14,10,-75,961,1
26,263,6,-75,961,1
263,37,8,37,966,1
275,0,4,-92,972,1
275,58,11,-92,972,1
288,494,5,-90,973,1
113,73,4,-28,980,1
384,34,4,36,984,1
384,3,10,46,984,1
234,50,8,-75,987,1
234,0,10,-75,987,1
269,37,6,42,991,1
128,124,3,-46,994,1
128,131,3,-9,994,1
308,339,5,-47,1002,1
74,222,8,-85,1004,1
74,0,2,-85,1004,1
133,16,4,-92,1009,1
133,20,10,43,1009,1
332,195,5,-47,1011,1
79,32,1,42,1015,1
79,98,11,42,1015,1
86,255,2,47,1015,1
373,478,4,-75,1023,1
373,330,9,-75,1023,1
326,359,4,47,1037,1
326,51,8,47,1037,1
